IP,Subject_CN,Issuer_CN,Sig_Algo,Pubkey_Type,Pubkey_Bits,NotAfter,SAN,source
,www.iticollege.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-12-12T16:12:28,iticollege.edu;www.iticollege.edu,crtsh
,illiad.tamucc.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-07T10:49:29,illiad.tamucc.edu,crtsh
,learn.coastal.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-12-20T23:59:59,learn.coastal.edu,crtsh
,My.lfgsm.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-09-25T13:51:52,My.lfgsm.edu;www.My.lfgsm.edu,crtsh
,unex.uci.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-11-04T23:59:59,unex.uci.edu,crtsh
,district.bluegrass.kctcs.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-08-03T23:59:59,district.bluegrass.kctcs.edu,crtsh
,webmail.cnm.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-05-12T12:00:00,autodiscover.cnm.edu;casht01.admin.ad.cnm.edu;casht02.admin.ad.cnm.edu;owa.cnm.edu;webmail.cnm.edu,crtsh
,ssc.memphis.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-09-25T23:59:59,ssc.memphis.edu;www.ssc.memphis.edu,crtsh
,catalyst.deanza.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-09-10T23:59:59,catalyst.deanza.edu,crtsh
,*.er.llcc.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-09-16T14:20:02,*.er.llcc.edu;er.llcc.edu,crtsh
,jobs.villanova.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-17T12:00:00,jobs.villanova.edu,crtsh
,*.pmc.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-05-01T17:15:02,*.pmc.edu;pmc.edu,crtsh
,*.foundation.fsu.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-20T19:57:47,*.foundation.fsu.edu;foundation.fsu.edu,crtsh
,blackboard.murraystate.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-11-13T23:59:59,blackboard.murraystate.edu,crtsh
,proxy.mci.edu,"C=NL, O=TERENA, CN=TERENA SSL CA",,,,2013-05-14T23:59:59,proxy.mci.edu,crtsh
,flourite.unh.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-30T12:00:00,flourite.unh.edu,crtsh
,*.mbi.ohio-state.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-07-20T23:59:59,*.mbi.ohio-state.edu,crtsh
,*.boisestate.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-05-05T23:59:59,*.boisestate.edu;boisestate.edu,crtsh
,mynsmstore.uh.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)06, CN=VeriSign Class 3 Extended Validation SSL CA",,,,2013-05-03T23:59:59,mynsmstore.uh.edu,crtsh
,luminis.cc.plattsburgh.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-12-09T23:59:59,luminis.cc.plattsburgh.edu,crtsh
,3dfacebase.ucsd.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-04-26T23:59:59,3dfacebase.ucsd.edu,crtsh
,sys2.unet.brandeis.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-03-25T23:59:59,sys2.unet.brandeis.edu,crtsh
,homer.gsu.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-06T23:59:59,homer.gsu.edu;www.homer.gsu.edu,crtsh
,cas.vbi.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-04-27T11:50:13,cas.bioinformatics.vt.edu;cas.vbi.vt.edu;edu,crtsh
,*.unm.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-04-02T02:46:24,*.unm.edu;unm.edu,crtsh
,scdn-static.phoenix.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-09-01T23:59:59,scdn-static.phoenix.edu,crtsh
,sites.stedwards.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-06-14T16:50:02,sites.stedwards.edu,crtsh
,*.dixie.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-06-26T23:59:59,*.dixie.edu;dixie.edu,crtsh
,aceweb.roanestate.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-08-05T17:50:02,aceweb.roanestate.edu,crtsh
,webvpn.hks.harvard.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-12-18T19:29:26,webvpn.hks.harvard.edu,crtsh
,outlook.wcupa.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-07-02T12:00:00,autodiscover.wcupa.edu;outlook.wcupa.edu,crtsh
,coned.hilbert.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-01T12:00:00,coned.hilbert.edu,crtsh
,email.national.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-28T17:20:35,autodiscover.national.edu;email.national.edu;exchcas01.national.edu;exchcas02.national.edu;webmail.national.edu;www.email.national.edu,crtsh
,Imail.fitnyc.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-07-25T23:59:59,Imail.fitnyc.edu,crtsh
,www.acaff.usmh.usmd.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-05-06T23:59:59,www.acaff.usmh.usmd.edu,crtsh
,jobs.maryville.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-17T12:00:00,jobs.maryville.edu,crtsh
,online1.byu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-09-10T23:59:59,online1.byu.edu;online.byu.edu,crtsh
,mtks.unm.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-08-12T23:59:59,mtks.unm.edu,crtsh
,iweb.uky.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-24T23:59:59,iweb.uky.edu,crtsh
,hokiespw.ais.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-05-09T15:15:10,edu;hokiespw.ais.vt.edu,crtsh
,account.palmer.edu,"C=US, O=""Thawte, Inc."", OU=Domain Validated SSL, CN=Thawte DV SSL CA",,,,2013-06-05T23:59:59,account.palmer.edu,crtsh
,jobs.eku.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-08-31T14:57:23,jobs.eku.edu,crtsh
,staff.imsa.edu,"C=US, O=Digital Signature Trust Co., OU=TrustID Server, CN=TrustID Server CA A5",,,,2013-07-15T12:04:46,ssl-certs@imsa.edu;staff.imsa.edu,crtsh
,illiad.lib.ku.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance EV CA-1",,,,2013-10-24T12:00:00,illiad.lib.ku.edu,crtsh
,data.ttac.clahs.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-07-27T14:35:51,data.ttac.clahs.vt.edu;edu,crtsh
,banner-as1.admin.wpi.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-05-22T23:59:59,banner-as1.admin.wpi.edu;www.banner-as1.admin.wpi.edu,crtsh
,soarmobile.usm.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-10T23:59:59,soarmobile.usm.edu,crtsh
,webprod.admin.uillinois.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-10-23T23:59:59,webprod.admin.uillinois.edu,crtsh
,www.uacch.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-11-19T19:57:54,uacch.edu;www.uacch.edu,crtsh
,mitsis.mit.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-08-17T17:53:45,mitsis.mit.edu,crtsh
,prodssb.clarku.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-10-04T20:51:58,prodssb.clarku.edu,crtsh
,r25web.middlesex.mass.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-08-16T04:59:58,r25web.middlesex.mass.edu,crtsh
,uniprint.osu.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-03-23T23:59:59,uniprint.osu.edu,crtsh
,triton.infosys.tamus.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-07-25T23:59:59,triton.infosys.tamus.edu,crtsh
,*.uwp.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-26T12:00:00,*.uwp.edu;uwp.edu;www.uwp.edu,crtsh
,cuh2.cooperhealth.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-09-04T21:23:11,cuh2.cooperhealth.edu;www.cuh2.cooperhealth.edu,crtsh
,*.libdb.smc.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-10-06T21:58:36,*.libdb.smc.edu;libdb.smc.edu,crtsh
,*.linnstate.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-22T23:59:59,*.linnstate.edu;linnstate.edu,crtsh
,finweb.rit.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-08-26T23:59:59,finweb.rit.edu;www.finweb.rit.edu,crtsh
,webmail.trocaire.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-06-12T12:00:00,autodiscover.Trocaire.edu;webmail.trocaire.edu,crtsh
,*.library.jhu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-02T23:59:59,*.library.jhu.edu;library.jhu.edu,crtsh
,buckid.osu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-07-26T12:00:00,buckid.osu.edu;www.buckid.osu.edu,crtsh
,mail.hunter.cuny.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-04-25T12:00:00,autodiscover.hunter.cuny.edu;mail.hunter.cuny.edu,crtsh
,my.usi.edu,"OU=Organization Validation CA, O=GlobalSign, CN=GlobalSign Organization Validation CA",,,,2013-06-15T01:13:10,my.usi.edu,crtsh
,jobs.concord.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-17T12:00:00,jobs.concord.edu,crtsh
,lecture.soc.northwestern.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-09-06T23:59:59,lecture.soc.northwestern.edu,crtsh
,www.library.upenn.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-11T23:59:59,www.library.upenn.edu,crtsh
,docs.uabgrid.uab.edu,"C=US, O=""GeoTrust, Inc."", CN=GeoTrust SSL CA",,,,2013-10-03T09:32:54,docs.uabgrid.uab.edu,crtsh
,manwe.mit.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-11-26T23:59:59,manwe.mit.edu,crtsh
,mayanot.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-12-07T09:29:22,mayanot.edu;www.mayanot.edu,crtsh
,hrform.ucsf.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-08-15T23:59:59,hrform.ucsf.edu;www.hrform.ucsf.edu,crtsh
,accounts.smc.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-10-02T18:44:46,accounts.smc.edu;www.accounts.smc.edu,crtsh
,webmail.law.miami.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-09-15T23:59:59,autodiscover.law.miami.edu;autodiscover.students.law.miami.edu;imap.law.miami.edu;law.miami.edu;legacy.law.miami.edu;legacy.students.law.miami.edu;mail.law.miami.edu;mia-hub-cas-03.law.miami.edu;mia-hub-cas-04.law.miami.edu;webmail.law.miami.edu,crtsh
,fsmail.bradley.edu,"C=BE, O=GlobalSign nv-sa, CN=GlobalSign Organization Validation CA - G2",,,,2013-12-16T20:15:02,fsmail.bradley.edu,crtsh
,*.hancockcollege.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High Assurance Secure Server CA",,,,2013-05-20T23:59:59,*.hancockcollege.edu;hancockcollege.edu,crtsh
,rt3.ece.cmu.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High Assurance Secure Server CA",,,,2013-04-28T23:59:59,rt3.ece.cmu.edu;www.rt3.ece.cmu.edu,crtsh
,uvlink.uvu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance EV CA-1",,,,2013-08-01T12:00:00,uvlink.uvu.edu,crtsh
,registrar.sewanee.edu,"OU=Organization Validation CA, O=GlobalSign, CN=GlobalSign Organization Validation CA",,,,2013-04-26T15:44:17,registrar.sewanee.edu,crtsh
,dlab.vet.uga.edu,"C=US, O=GeoTrust Inc., OU=Domain Validated SSL, CN=GeoTrust DV SSL CA",,,,2013-11-01T08:01:29,dlab.vet.uga.edu,crtsh
,ceo.binghamton.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-07-29T23:59:59,ceo.binghamton.edu;Continuing Education and Outreach,crtsh
,webadv.sanjuancollege.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-22T23:59:59,webadv.sanjuancollege.edu,crtsh
,onecard.sunydutchess.edu,"C=US, O=""Entrust, Inc."", OU=www.entrust.net/rpa is incorporated by reference, OU=""(c) 2009 Entrust, Inc."", CN=Entrust Certification Authority - L1C",,,,2013-06-03T05:13:54,onecard.sunydutchess.edu,crtsh
,googlecas.newschool.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-07-05T23:59:59,googlecas.newschool.edu,crtsh
,*.libpublic3.library.isu.edu,"C=US, O=""GeoTrust, Inc."", CN=RapidSSL CA",,,,2013-08-07T14:08:32,*.libpublic3.library.isu.edu,crtsh
,www.student.services.wiu.edu,"C=US, O=GeoTrust Inc, OU=See www.geotrust.com/resources/cps (c)06, CN=GeoTrust Extended Validation SSL CA",,,,2013-05-09T09:36:47,www.student.services.wiu.edu,crtsh
,wwws.cs.umn.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-10-18T23:59:59,wwws.cs.umn.edu;www.wwws.cs.umn.edu,crtsh
,BANNER.LSCC.EDU,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-08-16T19:37:14,BANNER.LSCC.EDU;www.BANNER.LSCC.EDU,crtsh
,mail.cedarcrest.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-07-27T23:59:59,mail.cedarcrest.edu;www.mail.cedarcrest.edu,crtsh
,eLearn.tnstate.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-03-29T20:37:53,eLearn.tnstate.edu;www.eLearn.tnstate.edu,crtsh
,*.setonhill.edu,"C=US, ST=Arizona, L=Scottsdale, O=""GoDaddy.com, Inc."", OU=http://certificates.godaddy.com/repository, CN=Go Daddy Secure Certification Authority, serialNumber=07969287",,,,2013-04-16T17:07:26,*.setonhill.edu;setonhill.edu,crtsh
,www.fullerton.edu,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO High-Assurance Secure Server CA",,,,2013-11-30T23:59:59,fullerton.edu;www.fullerton.edu,crtsh
,webadvisor.salve.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-08-21T12:00:00,webadvisor.salve.edu,crtsh
,static.fdi.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-06-05T14:44:23,edu;static.fdi.vt.edu,crtsh
,ssb.cuesta.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-10-24T23:59:59,ssb.cuesta.edu,crtsh
,mpowered.umich.edu,"C=US, ST=UT, L=Salt Lake City, O=The USERTRUST Network, OU=http://www.usertrust.com, CN=UTN-USERFirst-Hardware",,,,2013-04-01T23:59:59,mpowered.umich.edu;www.mpowered.umich.edu,crtsh
,collaboration.vbi.vt.edu,"Virginia Tech Global Server CA, OU=Global Server CA, O=Virginia Tech, C=US",,,,2013-04-26T18:31:43,collaboration.bioinformatics.vt.edu;collaboration.vbi.vt.edu;edu;wiki.bioinformatics.vt.edu;wiki.vbi.vt.edu,crtsh
,exchange.socccd.edu,"C=US, O=""VeriSign, Inc."", OU=VeriSign Trust Network, OU=Terms of use at https://www.verisign.com/rpa (c)10, CN=VeriSign Class 3 Secure Server CA - G3",,,,2013-12-24T23:59:59,autodiscover.socccd.edu;drift.socccd.edu;exchange.socccd.edu;legacy.socccd.edu,crtsh
,jobs.nd.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-10-02T19:56:26,jobs.nd.edu,crtsh
,nuForge.coe.neu.edu,"C=US, O=""Thawte, Inc."", CN=Thawte SSL CA",,,,2013-05-03T23:59:59,nuForge.coe.neu.edu,crtsh
,*.hws.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-10-17T23:59:59,bbtest2k8.hws.edu;coursestest2k8.hws.edu;*.hws.edu;hws.edu,crtsh
,apps.psychiatry.ufl.edu,"C=US, O=Internet2, OU=InCommon, CN=InCommon Server CA",,,,2013-09-12T23:59:59,apps.psychiatry.ufl.edu,crtsh
,careers.providence.edu,"C=US, O=Equifax, OU=Equifax Secure Certificate Authority",,,,2013-08-06T19:42:23,careers.providence.edu,crtsh
,*.westernu.edu,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=DigiCert High Assurance CA-3",,,,2013-12-13T12:00:00,*.westernu.edu;westernu.edu,crtsh
